epoch,opponent,win_rate
408,DumbBot,60.0
409,DumbBot,60.0
410,DumbBot,100.0
411,DumbBot,100.0
412,DumbBot,80.0
413,DumbBot,60.0
414,DumbBot,80.0
415,DumbBot,100.0
416,DumbBot,80.0
417,DumbBot,80.0
418,DumbBot,100.0
419,DumbBot,80.0
420,DumbBot,100.0
421,DumbBot,80.0
422,DumbBot,80.0
423,DumbBot,80.0
424,DumbBot,100.0
425,DumbBot,60.0
426,DumbBot,80.0
427,DumbBot,60.0
428,DumbBot,100.0
429,DumbBot,40.0
430,DumbBot,80.0
431,DumbBot,100.0
432,DumbBot,100.0
433,DumbBot,80.0
434,DumbBot,100.0
435,DumbBot,100.0
436,DumbBot,60.0
437,DumbBot,60.0
438,DumbBot,100.0
439,DumbBot,80.0
440,DumbBot,80.0
441,DumbBot,60.0
442,DumbBot,60.0
443,DumbBot,80.0
444,DumbBot,100.0
445,DumbBot,60.0
446,DumbBot,40.0
447,DumbBot,80.0
448,DumbBot,100.0
449,DumbBot,100.0
450,DumbBot,80.0
451,DumbBot,80.0
452,DumbBot,100.0
453,DumbBot,80.0
454,DumbBot,80.0
455,DumbBot,80.0
456,DumbBot,80.0
457,DumbBot,80.0
458,DumbBot,100.0
459,DumbBot,100.0
460,DumbBot,80.0
461,DumbBot,80.0
462,DumbBot,60.0
463,DumbBot,100.0
464,DumbBot,80.0
465,DumbBot,80.0
466,DumbBot,100.0
467,DumbBot,60.0
468,DumbBot,80.0
469,DumbBot,80.0
470,DumbBot,60.0
471,DumbBot,80.0
472,DumbBot,80.0
473,DumbBot,80.0
474,DumbBot,100.0
475,DumbBot,80.0
476,DumbBot,100.0
477,DumbBot,100.0
478,DumbBot,60.0
479,DumbBot,80.0
480,DumbBot,60.0
481,DumbBot,100.0
482,DumbBot,80.0
483,DumbBot,80.0
484,DumbBot,80.0
485,DumbBot,60.0
486,DumbBot,100.0
487,DumbBot,100.0
488,DumbBot,100.0
489,DumbBot,60.0
490,DumbBot,100.0
491,DumbBot,100.0
492,DumbBot,100.0
493,DumbBot,100.0
494,DumbBot,60.0
495,DumbBot,80.0
496,DumbBot,60.0
497,DumbBot,100.0
498,DumbBot,60.0
499,DumbBot,100.0
500,DumbBot,80.0
501,DumbBot,100.0
502,DumbBot,80.0
503,DumbBot,100.0
504,DumbBot,80.0
505,DumbBot,100.0
506,DumbBot,60.0
507,DumbBot,80.0
508,DumbBot,100.0
509,DumbBot,80.0
510,DumbBot,60.0
511,DumbBot,100.0
512,DumbBot,80.0
513,DumbBot,100.0
514,DumbBot,100.0
515,DumbBot,60.0
516,DumbBot,80.0
517,DumbBot,100.0
518,DumbBot,60.0
519,DumbBot,80.0
520,DumbBot,80.0
521,DumbBot,60.0
522,DumbBot,100.0
523,DumbBot,60.0
524,DumbBot,80.0
525,DumbBot,80.0
526,DumbBot,80.0
527,DumbBot,80.0
528,DumbBot,100.0
529,DumbBot,100.0
530,DumbBot,80.0
531,DumbBot,60.0
532,DumbBot,100.0
533,DumbBot,100.0
534,DumbBot,80.0
535,DumbBot,100.0
536,DumbBot,100.0
537,DumbBot,100.0
538,DumbBot,100.0
539,DumbBot,80.0
540,DumbBot,60.0
541,DumbBot,100.0
542,DumbBot,80.0
543,DumbBot,40.0
544,DumbBot,80.0
545,DumbBot,60.0
546,DumbBot,80.0
547,DumbBot,40.0
548,DumbBot,80.0
549,DumbBot,40.0
550,DumbBot,40.0
551,DumbBot,100.0
552,DumbBot,100.0
553,DumbBot,80.0
554,DumbBot,80.0
555,DumbBot,100.0
556,DumbBot,80.0
557,DumbBot,80.0
558,DumbBot,60.0
559,DumbBot,80.0
560,DumbBot,60.0
561,DumbBot,40.0
562,DumbBot,80.0
563,DumbBot,80.0
564,DumbBot,80.0
565,DumbBot,100.0
566,DumbBot,100.0
567,DumbBot,80.0
568,DumbBot,80.0
569,DumbBot,100.0
570,DumbBot,80.0
571,DumbBot,100.0
572,DumbBot,100.0
573,DumbBot,60.0
574,DumbBot,60.0
575,DumbBot,100.0
576,DumbBot,100.0
577,DumbBot,60.0
578,DumbBot,80.0
579,DumbBot,100.0
580,DumbBot,80.0
581,DumbBot,100.0
582,DumbBot,100.0
583,DumbBot,80.0
584,DumbBot,60.0
585,DumbBot,100.0
586,DumbBot,80.0
587,DumbBot,60.0
588,DumbBot,100.0
589,DumbBot,80.0
590,DumbBot,60.0
591,DumbBot,40.0
592,DumbBot,100.0
593,DumbBot,100.0
594,DumbBot,80.0
595,DumbBot,80.0
596,DumbBot,100.0
597,DumbBot,100.0
598,DumbBot,60.0
599,DumbBot,100.0
600,DumbBot,80.0
601,DumbBot,80.0
602,DumbBot,100.0
603,DumbBot,80.0
604,DumbBot,80.0
605,DumbBot,80.0
606,DumbBot,80.0
607,DumbBot,80.0
608,DumbBot,60.0
609,DumbBot,80.0
610,DumbBot,100.0
611,DumbBot,80.0
612,DumbBot,100.0
613,DumbBot,80.0
614,DumbBot,80.0
615,DumbBot,80.0
616,DumbBot,80.0
617,DumbBot,80.0
618,DumbBot,80.0
619,DumbBot,60.0
620,DumbBot,80.0
621,DumbBot,60.0
622,DumbBot,80.0
623,DumbBot,80.0
624,DumbBot,100.0
625,DumbBot,60.0
626,DumbBot,100.0
627,DumbBot,100.0
628,DumbBot,80.0
629,DumbBot,100.0
630,DumbBot,100.0
631,DumbBot,100.0
632,DumbBot,100.0
633,DumbBot,60.0
634,DumbBot,100.0
635,DumbBot,80.0
636,DumbBot,80.0
637,DumbBot,100.0
638,DumbBot,100.0
639,DumbBot,80.0
640,DumbBot,40.0
641,DumbBot,60.0
642,DumbBot,100.0
643,DumbBot,60.0
644,DumbBot,100.0
645,DumbBot,60.0
646,DumbBot,60.0
647,DumbBot,80.0
648,DumbBot,100.0
649,DumbBot,80.0
650,DumbBot,60.0
651,DumbBot,80.0
652,DumbBot,60.0
653,DumbBot,100.0
654,DumbBot,100.0
655,DumbBot,60.0
656,DumbBot,100.0
657,DumbBot,100.0
658,DumbBot,100.0
659,DumbBot,100.0
660,DumbBot,100.0
661,DumbBot,80.0
662,DumbBot,100.0
663,DumbBot,80.0
664,DumbBot,80.0
665,DumbBot,100.0
666,DumbBot,80.0
667,DumbBot,60.0
668,DumbBot,100.0
669,DumbBot,80.0
670,DumbBot,60.0
671,DumbBot,100.0
672,DumbBot,80.0
673,DumbBot,80.0
674,DumbBot,80.0
675,DumbBot,80.0
676,DumbBot,100.0
677,DumbBot,100.0
678,DumbBot,100.0
679,DumbBot,60.0
680,DumbBot,80.0
681,DumbBot,100.0
