turn,color,move,player_name
243,BLACK,G3,Human
244,WHITE,G1,MomijiManjuBot
245,WHITE,G2,MomijiManjuBot
246,WHITE,G8,MomijiManjuBot
247,WHITE,H2,MomijiManjuBot
248,WHITE,G2,MomijiManjuBot
249,BLACK,H2,Human
250,WHITE,G1,MomijiManjuBot
251,WHITE,G8,MomijiManjuBot
252,WHITE,H1,MomijiManjuBot
253,WHITE,H1,MomijiManjuBot
254,BLACK,G1,Human
255,WHITE,G8,MomijiManjuBot
256,WHITE,G8,MomijiManjuBot
257,BLACK,F5,Human
258,WHITE,D6,MomijiManjuBot
259,WHITE,F4,MomijiManjuBot
260,WHITE,F6,MomijiManjuBot
261,WHITE,F6,MomijiManjuBot
262,BLACK,E6,Human
263,WHITE,D6,MomijiManjuBot
264,WHITE,F4,MomijiManjuBot
265,WHITE,D6,MomijiManjuBot
266,BLACK,C4,Human
267,WHITE,B3,MomijiManjuBot
268,WHITE,C3,MomijiManjuBot
269,WHITE,D3,MomijiManjuBot
270,WHITE,E3,MomijiManjuBot
271,WHITE,F3,MomijiManjuBot
272,WHITE,F4,MomijiManjuBot
273,WHITE,G4,MomijiManjuBot
274,WHITE,G5,MomijiManjuBot
275,WHITE,C3,MomijiManjuBot
276,BLACK,C5,Human
277,WHITE,B3,MomijiManjuBot
278,WHITE,B4,MomijiManjuBot
279,WHITE,B6,MomijiManjuBot
280,WHITE,C6,MomijiManjuBot
281,WHITE,E3,MomijiManjuBot
282,WHITE,F4,MomijiManjuBot
283,WHITE,G4,MomijiManjuBot
284,WHITE,B3,MomijiManjuBot
285,BLACK,E3,Human
286,WHITE,B4,MomijiManjuBot
287,WHITE,B5,MomijiManjuBot
288,WHITE,C6,MomijiManjuBot
289,WHITE,D3,MomijiManjuBot
290,WHITE,E2,MomijiManjuBot
291,WHITE,F3,MomijiManjuBot
292,WHITE,F4,MomijiManjuBot
293,WHITE,G4,MomijiManjuBot
294,WHITE,G5,MomijiManjuBot
295,WHITE,F4,MomijiManjuBot
296,BLACK,G5,Human
297,WHITE,B4,MomijiManjuBot
298,WHITE,B6,MomijiManjuBot
299,WHITE,C6,MomijiManjuBot
300,WHITE,E2,MomijiManjuBot
301,WHITE,F2,MomijiManjuBot
302,WHITE,F3,MomijiManjuBot
303,WHITE,G3,MomijiManjuBot
304,WHITE,G4,MomijiManjuBot
305,WHITE,G6,MomijiManjuBot
306,WHITE,H4,MomijiManjuBot
307,WHITE,G3,MomijiManjuBot
308,BLACK,A2,Human
309,WHITE,A3,MomijiManjuBot
310,WHITE,B4,MomijiManjuBot
311,WHITE,B5,MomijiManjuBot
312,WHITE,B6,MomijiManjuBot
313,WHITE,C6,MomijiManjuBot
314,WHITE,D2,MomijiManjuBot
315,WHITE,E2,MomijiManjuBot
316,WHITE,F2,MomijiManjuBot
317,WHITE,G4,MomijiManjuBot
318,WHITE,G6,MomijiManjuBot
319,WHITE,H4,MomijiManjuBot
320,WHITE,H5,MomijiManjuBot
321,WHITE,H6,MomijiManjuBot
322,WHITE,A3,MomijiManjuBot
323,BLACK,A4,Human
324,WHITE,B4,MomijiManjuBot
325,WHITE,B5,MomijiManjuBot
326,WHITE,B6,MomijiManjuBot
327,WHITE,C6,MomijiManjuBot
328,WHITE,D2,MomijiManjuBot
329,WHITE,E2,MomijiManjuBot
330,WHITE,F2,MomijiManjuBot
331,WHITE,G4,MomijiManjuBot
332,WHITE,G6,MomijiManjuBot
333,WHITE,H4,MomijiManjuBot
334,WHITE,H5,MomijiManjuBot
335,WHITE,H6,MomijiManjuBot
336,WHITE,C6,MomijiManjuBot
337,BLACK,D3,Human
338,WHITE,B2,MomijiManjuBot
339,WHITE,C2,MomijiManjuBot
340,WHITE,D2,MomijiManjuBot
341,WHITE,E2,MomijiManjuBot
342,WHITE,F2,MomijiManjuBot
343,WHITE,F3,MomijiManjuBot
344,WHITE,G4,MomijiManjuBot
345,WHITE,H4,MomijiManjuBot
346,WHITE,H5,MomijiManjuBot
347,WHITE,H6,MomijiManjuBot
348,WHITE,E2,MomijiManjuBot
349,BLACK,B5,Human
350,WHITE,A6,MomijiManjuBot
351,WHITE,B2,MomijiManjuBot
352,WHITE,B4,MomijiManjuBot
353,WHITE,B6,MomijiManjuBot
354,WHITE,C2,MomijiManjuBot
355,WHITE,G4,MomijiManjuBot
356,WHITE,G6,MomijiManjuBot
357,WHITE,H4,MomijiManjuBot
358,WHITE,H6,MomijiManjuBot
359,WHITE,B6,MomijiManjuBot
360,BLACK,F1,Human
361,WHITE,A5,MomijiManjuBot
362,WHITE,B2,MomijiManjuBot
363,WHITE,B4,MomijiManjuBot
364,WHITE,C2,MomijiManjuBot
365,WHITE,D2,MomijiManjuBot
366,WHITE,E1,MomijiManjuBot
367,WHITE,G4,MomijiManjuBot
368,WHITE,G6,MomijiManjuBot
369,WHITE,H4,MomijiManjuBot
370,WHITE,H5,MomijiManjuBot
371,WHITE,H6,MomijiManjuBot
372,WHITE,C2,MomijiManjuBot
373,BLACK,B1,Human
374,WHITE,A5,MomijiManjuBot
375,WHITE,A6,MomijiManjuBot
376,WHITE,B4,MomijiManjuBot
377,WHITE,C1,MomijiManjuBot
378,WHITE,D2,MomijiManjuBot
379,WHITE,E1,MomijiManjuBot
380,WHITE,F3,MomijiManjuBot
381,WHITE,G4,MomijiManjuBot
382,WHITE,H4,MomijiManjuBot
383,WHITE,H5,MomijiManjuBot
384,WHITE,H6,MomijiManjuBot
385,WHITE,H5,MomijiManjuBot
386,BLACK,B4,Human
387,WHITE,A5,MomijiManjuBot
388,WHITE,B2,MomijiManjuBot
389,WHITE,C1,MomijiManjuBot
390,WHITE,D2,MomijiManjuBot
391,WHITE,E1,MomijiManjuBot
392,WHITE,F3,MomijiManjuBot
393,WHITE,B2,MomijiManjuBot
394,BLACK,A1,Human
395,WHITE,C1,MomijiManjuBot
396,WHITE,D1,MomijiManjuBot
397,WHITE,D2,MomijiManjuBot
398,WHITE,E1,MomijiManjuBot
399,WHITE,F3,MomijiManjuBot
400,WHITE,C1,MomijiManjuBot
401,BLACK,D1,Human
402,WHITE,D2,MomijiManjuBot
403,WHITE,E1,MomijiManjuBot
404,WHITE,F3,MomijiManjuBot
405,WHITE,D2,MomijiManjuBot
406,BLACK,A6,Human
407,WHITE,A5,MomijiManjuBot
408,WHITE,E1,MomijiManjuBot
409,WHITE,F2,MomijiManjuBot
410,WHITE,F3,MomijiManjuBot
411,WHITE,E1,MomijiManjuBot
412,BLACK,G4,Human
413,WHITE,A5,MomijiManjuBot
414,WHITE,F3,MomijiManjuBot
415,WHITE,G1,MomijiManjuBot
416,WHITE,H3,MomijiManjuBot
417,WHITE,H4,MomijiManjuBot
418,WHITE,H4,MomijiManjuBot
419,BLACK,F3,Human
420,WHITE,A5,MomijiManjuBot
421,WHITE,F2,MomijiManjuBot
422,WHITE,G1,MomijiManjuBot
423,WHITE,G2,MomijiManjuBot
424,WHITE,F2,MomijiManjuBot
425,BLACK,B7,Human
426,WHITE,A5,MomijiManjuBot
427,WHITE,A7,MomijiManjuBot
428,WHITE,A8,MomijiManjuBot
429,WHITE,B8,MomijiManjuBot
430,WHITE,G1,MomijiManjuBot
431,WHITE,A8,MomijiManjuBot
432,BLACK,B8,Human
433,WHITE,A5,MomijiManjuBot
434,WHITE,A7,MomijiManjuBot
435,WHITE,C8,MomijiManjuBot
436,WHITE,G1,MomijiManjuBot
437,WHITE,C8,MomijiManjuBot
438,BLACK,C7,Human
439,WHITE,A5,MomijiManjuBot
440,WHITE,A7,MomijiManjuBot
441,WHITE,G1,MomijiManjuBot
442,WHITE,A5,MomijiManjuBot
443,BLACK,D7,Human
444,WHITE,A7,MomijiManjuBot
445,WHITE,D8,MomijiManjuBot
446,WHITE,E7,MomijiManjuBot
447,WHITE,E8,MomijiManjuBot
448,WHITE,G1,MomijiManjuBot
449,WHITE,D8,MomijiManjuBot
450,BLACK,E8,Human
451,WHITE,A7,MomijiManjuBot
452,WHITE,E7,MomijiManjuBot
453,WHITE,F8,MomijiManjuBot
454,WHITE,G1,MomijiManjuBot
455,WHITE,F8,MomijiManjuBot
456,BLACK,E7,Human
457,WHITE,A7,MomijiManjuBot
458,WHITE,F7,MomijiManjuBot
459,WHITE,G1,MomijiManjuBot
460,WHITE,G1,MomijiManjuBot
461,BLACK,F7,Human
462,WHITE,A7,MomijiManjuBot
463,WHITE,G6,MomijiManjuBot
464,WHITE,G7,MomijiManjuBot
465,WHITE,G7,MomijiManjuBot
466,BLACK,H1,Human
467,WHITE,A7,MomijiManjuBot
468,WHITE,A7,MomijiManjuBot
469,BLACK,H8,Human
470,WHITE,G6,MomijiManjuBot
471,WHITE,H6,MomijiManjuBot
472,WHITE,H7,MomijiManjuBot
